UNITID,TotalLiabilities,EndowmentAssets
222178,331069608,821879729
138558,64439549,22380708
172866,992187,NA
108232,179522282,NA
126182,108355019,57169
188429,183266557,255623639
142832,30185627,229680
168528,65799364,56579536
133872,19784068,11811829
138600,79721969,236894913
100654,294187628,NA
100724,196531265,135198862
102580,250784,1411276
102669,7530239,102841132
188526,37739949,68029602
138716,193187311,5175885
128498,34935412,31174365
168546,79539037,144138966
132842,11199578,NA
210571,153098000,53032000
175342,140837968,19787828
188641,97404551,193793251
156189,4467256,70415927
210669,64091771,270838687
200873,70494,458398
152798,1511306,10953441
217624,11030920,580231
110468,38312467,NA
168591,66678380,135964921
210775,113251984,18457597
238193,22395404,36216702
222628,1290969,50515857
219505,4845239,2349560
485698,6395516,2009183
438586,7625030,NA
445133,10029550,NA
164447,33980780,28344364
142957,1068533,NA
131159,861929000,1032022000
433004,6085482,NA
164465,714483653,3549576398
483595,42513399,NA
150066,49325000,35208000
217633,104416747,65010089
168740,60501409,77326914
222831,71867409,249083037
164492,25410446,1525372
483018,3590607,20419150
245892,NA,NA
245838,NA,NA
245847,NA,NA
245883,NA,NA
237136,3622171,2164319
197869,834332786,217201820
168786,40040769,46683981
211088,102450000,66099000
105899,44338599,727690
500290,NA,NA
500306,NA,NA
499389,NA,NA
499398,NA,NA
499404,NA,NA
494162,NA,NA
498447,NA,NA
495439,NA,NA
487375,NA,NA
498456,NA,NA
495457,NA,NA
497268,NA,NA
499370,NA,NA
498049,NA,NA
500333,NA,NA
495420,NA,NA
421708,132699819,NA
495448,NA,NA
104151,4478833000,1592168000
106306,3644051,NA
106458,151841871,115395232
222877,1253428,NA
201061,5065475,2349602
109651,168326000,152688000
156213,13796728,78149444
154022,69511585,NA
201104,96236168,71414534
454829,20521656,NA
164562,43834397,107684029
100812,62340443,7026759
439446,1542283,NA
485768,9733314,NA
100858,2797624594,1185728863
100830,187208987,68494514
173045,74620579,76281098
482149,925856929,398304538
143084,43151446,222938769
219000,120045798,126552473
143118,60619641,54014375
222983,43723789,191743430
219602,127122426,58126611
446048,61971051,11014738
231420,32601271,5687825
176628,30107808,11713369
109785,188517861,96232956
164580,219388989,740311170
476601,3564420,NA
245777,482804,NA
449658,199498,NA
168847,21637914,348024578
154688,26360536,52323368
201195,55082842,179867612
150136,438484408,260813964
219639,16360715,91778586
223117,114623,1967661
132408,342701,7970708
444398,130748,6107741
155070,4057290,5533861
189088,602299750,167819284
189097,330080000,503444000
177719,0,42166731
132471,81977854,58752320
197911,35238901,25410090
235547,22346162,762289
160977,203291343,446804807
164632,23029020,74437347
223232,1023961000,2103057000
476717,2359759,NA
384254,20874487,2278773
444413,481561,NA
175421,22328153,7959804
156286,72247959,63334186
180814,66936864,117841840
238324,17035416,15045900
197984,30180724,13795258
219709,409057763,404513549
238333,31227852,84013471
173124,44937000,39810000
217721,38583357,29603266
154712,67241514,58512703
145619,69869792,34661849
197993,8048203,16520944
230816,61020565,48929885
164739,197865000,362644000
156295,109487442,1626128100
189228,7539118,NA
183789,12067572,NA
164748,410392526,426384464
139144,116725240,1370772843
485999,179200,NA
183804,61379338,14210278
488314,473806,NA
154721,23925869,13171944
237181,46630176,52403983
173142,24325197,48271455
154749,2886160,36871951
150145,17535519,11719776
173160,75346676,109281103
219718,58773345,12300132
110060,595101,NA
486053,770008,158117
132602,99896282,41110832
139153,765300,NA
196079,981204734,221028373
110097,147370000,141349000
219046,19058338,23948759
143288,13747000,34703862
143297,NA,NA
183822,36035000,17519000
175430,6994330,20456194
237215,9629918,4583708
231554,18050426,7310115
201371,11076322,25920590
217749,25817735,20503548
142090,410802,751577
142115,418042000,165407637
233356,NA,925214
189413,12279884,699396
164872,21573941,11098252
164614,1519979,NA
164924,1761819785,3908450339
164988,2532493000,3528624000
161004,431934000,2583406000
162007,106261234,47305844
201441,544329610,236601000
143358,188574014,362421752
165015,325555447,1264908273
139199,44379335,61203869
156356,9975216,17456238
198066,22363164,37016592
139205,8921141,10591487
152992,24442532,23114395
231581,62631711,102625570
165024,339617930,76377856
230038,574478419,3079786298
230047,337418000,248204000
