UNITID,11_CTOTALT,13_CTOTALT,14_CTOTALT,23_CTOTALT,24_CTOTALT,26_CTOTALT,31_CTOTALT,42_CTOTALT,43_CTOTALT,44_CTOTALT,45_CTOTALT,50_CTOTALT,52_CTOTALT,99_CTOTALT,09_CTOTALT,51_CTOTALT,11_CTOTALM,13_CTOTALM,14_CTOTALM,23_CTOTALM,24_CTOTALM,26_CTOTALM,31_CTOTALM,42_CTOTALM,43_CTOTALM,44_CTOTALM,45_CTOTALM,50_CTOTALM,52_CTOTALM,99_CTOTALM,09_CTOTALM,51_CTOTALM,11_CASIAT,13_CASIAT,14_CASIAT,23_CASIAT,24_CASIAT,26_CASIAT,31_CASIAT,42_CASIAT,43_CASIAT,44_CASIAT,45_CASIAT,50_CASIAT,52_CASIAT,99_CASIAT,09_CASIAT,51_CASIAT,11_CWHITT,13_CWHITT,14_CWHITT,23_CWHITT,24_CWHITT,26_CWHITT,31_CWHITT,42_CWHITT,43_CWHITT,44_CWHITT,45_CWHITT,50_CWHITT,52_CWHITT,99_CWHITT,09_CWHITT,51_CWHITT,11_CNRALT,13_CNRALT,14_CNRALT,23_CNRALT,24_CNRALT,26_CNRALT,31_CNRALT,42_CNRALT,43_CNRALT,44_CNRALT,45_CNRALT,50_CNRALT,52_CNRALT,99_CNRALT,09_CNRALT,51_CNRALT,11_BLACKHISRACES,13_BLACKHISRACES,14_BLACKHISRACES,23_BLACKHISRACES,24_BLACKHISRACES,26_BLACKHISRACES,31_BLACKHISRACES,42_BLACKHISRACES,43_BLACKHISRACES,44_BLACKHISRACES,45_BLACKHISRACES,50_BLACKHISRACES,52_BLACKHISRACES,99_BLACKHISRACES,09_BLACKHISRACES,51_BLACKHISRACES,11_OTHERRACES,13_OTHERRACES,14_OTHERRACES,23_OTHERRACES,24_OTHERRACES,26_OTHERRACES,31_OTHERRACES,42_OTHERRACES,43_OTHERRACES,44_OTHERRACES,45_OTHERRACES,50_OTHERRACES,52_OTHERRACES,99_OTHERRACES,09_OTHERRACES,51_OTHERRACES
100654,25,25,64,7,39,84,22,33,38,26,13,11,99,590,NA,NA,15,4,46,3,18,10,14,1,13,6,3,8,36,208,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,0,6,2,0,5,1,0,0,3,1,0,1,1,24,NA,NA,1,0,0,0,0,1,1,0,0,0,0,0,3,6,NA,NA,24,19,61,7,33,80,21,32,35,22,13,10,92,544,NA,NA,0,0,1,0,1,2,0,1,0,2,0,0,1,9,NA,NA
100663,108,166,166,46,93,457,NA,234,110,50,81,84,543,2945,58,603,78,52,122,9,33,152,NA,44,43,4,29,29,314,1093,23,101,13,6,22,0,2,105,NA,17,4,1,5,2,33,257,3,29,52,102,94,34,40,180,NA,128,60,26,43,60,339,1612,29,333,13,2,11,0,2,15,NA,2,2,0,0,0,25,88,1,13,24,47,30,11,38,116,NA,74,41,22,28,19,123,815,25,190,2,2,1,0,1,6,NA,0,0,0,0,1,5,23,0,2
100706,111,33,466,33,NA,91,40,37,NA,NA,17,61,262,1470,15,154,87,7,362,10,NA,27,19,6,NA,NA,3,20,162,822,3,27,10,0,24,0,NA,7,0,0,NA,NA,0,3,7,63,0,8,70,25,373,24,NA,60,29,32,NA,NA,7,38,177,1055,8,101,3,0,9,0,NA,3,0,0,NA,NA,0,0,5,23,0,2,21,2,34,7,NA,11,7,4,NA,NA,4,12,42,201,6,28,3,1,12,1,NA,7,1,0,NA,NA,4,2,20,65,1,9
100724,19,35,6,4,NA,51,6,30,58,18,14,49,56,470,24,41,13,10,2,0,NA,11,1,7,9,2,5,25,16,141,9,8,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,1,0,0,0,0,0,1,1,10,0,0,5,1,1,0,NA,0,0,0,0,0,0,2,2,13,0,0,14,32,5,4,NA,49,6,29,57,16,14,45,51,432,22,40,0,0,0,0,NA,1,0,0,1,0,0,1,1,7,1,0
100751,108,165,662,65,1,248,259,342,0,66,595,159,1924,6605,628,608,84,19,505,18,1,86,93,55,0,6,256,23,1089,2724,202,60,13,0,20,1,0,9,3,8,0,0,12,5,20,116,4,8,80,143,521,53,0,210,195,260,0,44,454,118,1615,5235,488,471,2,0,44,0,0,0,2,0,0,0,2,1,7,67,1,2,10,20,54,7,1,21,53,50,0,19,102,26,213,931,108,105,0,1,6,2,0,1,2,3,0,0,8,1,13,56,4,7
100812,20,238,NA,12,77,14,2,23,12,NA,7,22,229,721,NA,32,14,33,NA,1,35,4,0,3,4,NA,1,6,75,192,NA,3,1,0,NA,0,1,0,0,1,0,NA,0,0,0,3,NA,0,15,192,NA,11,60,12,2,15,7,NA,6,18,182,562,NA,20,0,0,NA,0,0,0,0,0,1,NA,0,1,0,3,NA,0,2,33,NA,1,15,2,0,6,2,NA,0,1,36,111,NA,8,1,7,NA,0,0,0,0,1,2,NA,1,0,6,24,NA,3
100830,49,45,NA,7,NA,34,45,37,29,22,8,14,120,633,15,122,35,7,NA,3,NA,7,18,4,9,0,6,3,50,195,6,16,5,0,NA,0,NA,2,1,0,0,0,0,0,3,21,0,5,17,35,NA,5,NA,14,13,12,12,6,8,6,63,293,7,63,6,0,NA,0,NA,0,3,2,1,0,0,0,6,26,0,5,21,7,NA,1,NA,18,24,18,15,16,0,8,45,265,8,42,0,0,NA,0,NA,0,1,1,0,0,0,0,1,7,0,3
100858,188,238,945,31,10,600,NA,212,NA,34,150,180,1526,5812,266,357,151,37,757,8,2,180,NA,41,NA,3,87,47,928,2852,76,28,19,2,25,0,0,16,NA,6,NA,3,4,7,29,144,4,6,124,215,800,29,7,498,NA,172,NA,26,116,149,1295,4893,230,320,17,0,28,0,0,7,NA,6,NA,0,8,2,72,168,7,1,21,11,63,2,2,58,NA,23,NA,4,18,19,81,419,20,20,1,1,2,0,0,2,NA,1,NA,1,2,0,10,27,0,1
101189,8,6,NA,5,1,3,18,23,73,NA,2,2,200,391,NA,25,6,1,NA,0,0,2,17,6,47,NA,1,0,64,164,NA,6,0,0,NA,0,0,0,0,0,3,NA,0,0,2,6,NA,0,8,4,NA,4,1,2,5,11,35,NA,1,2,75,185,NA,19,0,0,NA,0,0,0,0,0,0,NA,0,0,7,7,NA,0,0,2,NA,1,0,1,13,9,29,NA,0,0,99,162,NA,4,0,0,NA,0,0,0,0,2,2,NA,0,0,9,14,NA,1
101480,36,175,NA,17,109,65,30,42,130,49,23,59,197,1349,27,316,31,38,NA,3,62,25,24,5,39,2,14,28,94,466,6,58,0,1,NA,0,0,2,0,0,0,2,0,0,1,9,0,2,22,135,NA,10,51,34,19,28,80,31,11,44,141,898,20,217,3,1,NA,0,2,2,1,0,1,0,0,0,5,17,0,1,7,26,NA,5,41,20,9,8,38,15,8,8,37,312,7,70,2,6,NA,0,12,3,1,3,4,0,3,6,4,59,0,12
101587,NA,104,NA,4,NA,11,18,30,5,NA,3,1,57,401,26,33,NA,10,NA,0,NA,2,13,2,5,NA,0,1,22,122,7,2,NA,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,72,NA,2,NA,7,6,15,2,NA,0,0,28,215,9,15,NA,0,NA,0,NA,0,1,1,0,NA,0,0,1,6,3,0,NA,17,NA,1,NA,4,9,11,1,NA,3,1,19,136,10,13,NA,15,NA,1,NA,0,0,1,2,NA,0,0,7,33,2,2
101675,11,2,NA,1,NA,23,NA,6,15,10,6,3,53,152,11,NA,5,0,NA,0,NA,3,NA,0,5,1,2,3,27,56,5,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,1,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,11,2,NA,1,NA,22,NA,6,15,10,6,3,53,150,11,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,NA
