CIP,LABEL
01,Agriculture
03,Natural Resources
04,Architecture
05,Area/Ethnic/Cultural/Gender Studies
09,Communication and Journalism
10,Communications Technologies
11,Computer and Information Sciences
12,Personal and Culinary Services
13,Education
14,Engineering
15,Engineering Technologies/Technicians
16,"Foreign Languages, Literature, and Linguistics"
19,Family & Consumer Sciences
22,Legal Professions and Studies
23,English Language and Literature
24,"Liberal Arts and Sciences, General Studies and Humanities"
25,Libary Science
26,Biological and Biomedical Sciences
27,Math & Statistics
29,Military Technologies
30,Multi/Interdisciplinary Studies
31,"Parks, Recreation, Leisure, and Fitness Studies"
38,Philosophy and Religious Studies
39,Theology and Religious Vocations
40,Physical Sciences
41,Science Technologies/Technicians
42,Psychology
43,Security and Protective Services
44,Public Administration and Social Services
45,Social Sciences
46,Construction Trades
47,Mechanic and Repair Technologies/Technicians
48,Precision Production
49,Transportation and Materials Moving
50,Visual and Performing Arts
51,Health Professions
52,"Business, Management and Marketing"
54,History
99,Grand Total
