"UNITID","XGRCOHRT","GRCOHRT","XUGENTER","UGENTERN","XPGRCOHR","PGRCOHRT","XRRFTCT","RRFTCT","XRRFTEX","RRFTEX","XRRFTIN","RRFTIN","XRRFTCTA","RRFTCTA","XRET_NMF","RET_NMF","XRET_PCF","RET_PCF","XRRPTCT","RRPTCT","XRRPTEX","RRPTEX","XRRPTIN","RRPTIN","XRRPTCTA","RRPTCTA","XRET_NMP","RET_NMP","XRET_PCP","RET_PCP","XSTUFACR","STUFACR"
100654,"R",1939,"R",2205,"R",88,"R",1976,"R",0,"R",0,"R",1976,"R",1381,"R",70,"R",14,"R",0,"R",0,"R",14,"R",3,"R",21,"R",19
100663,"R",1993,"R",3266,"R",61,"R",2054,"R",0,"R",0,"R",2054,"R",1645,"R",80,"R",38,"R",0,"R",0,"R",38,"R",18,"R",47,"R",18
100690,"A",NA,"A",NA,"A",NA,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",12
100706,"R",1200,"R",1903,"R",63,"R",1162,"R",0,"R",0,"R",1162,"R",979,"R",84,"R",14,"R",0,"R",0,"R",14,"R",6,"R",43,"R",17
100724,"R",1053,"R",1218,"R",86,"R",909,"R",0,"R",0,"R",909,"R",634,"R",70,"R",42,"R",0,"R",0,"R",42,"R",9,"R",21,"R",15
100751,"R",7973,"R",9539,"R",84,"R",8215,"R",3,"R",0,"R",8212,"R",7349,"R",89,"R",64,"R",0,"R",0,"R",64,"R",32,"R",50,"R",19
100812,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",14
100830,"R",346,"R",1026,"R",34,"R",407,"R",0,"R",0,"R",407,"R",275,"R",68,"R",5,"R",0,"R",0,"R",5,"R",3,"R",60,"R",13
100858,"R",6081,"R",8056,"R",75,"R",5916,"R",1,"R",0,"R",5915,"R",5606,"R",95,"R",19,"R",5,"R",0,"R",14,"R",10,"R",71,"R",21
101116,"R",28,"R",92,"R",30,"R",13,"R",0,"R",0,"R",13,"R",8,"R",62,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",13
101189,"R",213,"R",623,"R",34,"R",228,"R",0,"R",0,"R",228,"R",147,"R",64,"R",21,"R",0,"R",0,"R",21,"R",11,"R",52,"R",14
101365,"R",11,"R",121,"R",9,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",14
101435,"R",280,"R",323,"R",87,"R",309,"R",0,"R",0,"R",309,"R",207,"R",67,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",15
101453,"R",5,"R",42,"R",12,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",8
101480,"R",1722,"R",3242,"R",53,"R",1798,"R",0,"R",0,"R",1798,"R",1161,"R",65,"R",17,"R",0,"R",0,"R",17,"R",3,"R",18,"R",19
101587,"R",372,"R",1025,"R",36,"R",299,"R",0,"R",0,"R",299,"R",194,"R",65,"R",6,"R",0,"R",0,"R",6,"R",2,"R",33,"R",19
101675,"R",176,"R",321,"R",55,"R",176,"R",0,"R",0,"R",176,"R",99,"R",56,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",12
101693,"R",271,"R",349,"R",78,"R",288,"R",0,"R",0,"R",288,"R",213,"R",74,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",14
101709,"R",552,"R",1174,"R",47,"R",499,"Z",0,"Z",0,"R",499,"R",363,"R",73,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",13
101879,"R",1048,"R",2959,"R",35,"R",1083,"R",0,"R",0,"R",1083,"R",863,"R",80,"R",22,"R",0,"R",0,"R",22,"R",8,"R",36,"R",18
101912,"R",255,"R",315,"R",81,"R",284,"Z",0,"Z",0,"R",284,"R",202,"R",71,"R",6,"Z",0,"Z",0,"R",6,"R",2,"R",33,"R",14
102049,"R",1087,"R",1336,"R",81,"R",1080,"R",0,"R",0,"R",1080,"R",1003,"R",93,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",14
102058,"R",11,"R",14,"R",79,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"R",4,"R",0,"R",0,"R",4,"R",1,"R",25,"R",3
102094,"R",1919,"R",2996,"R",64,"R",1888,"R",0,"R",0,"R",1888,"R",1430,"R",76,"R",18,"R",0,"R",0,"R",18,"R",7,"R",39,"R",19
102234,"R",153,"R",319,"R",48,"R",215,"R",0,"R",0,"R",215,"R",151,"R",70,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",100,"R",11
102270,"R",134,"R",223,"R",60,"R",178,"R",0,"R",0,"R",178,"R",94,"R",53,"R",22,"R",0,"R",0,"R",22,"R",15,"R",68,"R",13
102298,"R",269,"R",309,"R",87,"R",204,"R",0,"R",0,"R",204,"R",111,"R",54,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",17
102368,"R",1650,"R",3087,"R",53,"R",1418,"R",1,"R",0,"R",1417,"R",1009,"R",71,"R",217,"R",0,"R",0,"R",217,"R",64,"R",29,"R",16
102377,"R",786,"R",912,"R",86,"R",859,"R",0,"R",0,"R",859,"R",693,"R",81,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",14
102395,"A",NA,"A",NA,"A",NA,"R",7,"R",0,"R",0,"R",7,"R",3,"R",43,"R",19,"R",0,"R",0,"R",19,"R",11,"R",58,"R",14
102553,"R",919,"R",2125,"R",43,"R",607,"Z",0,"Z",0,"R",607,"R",429,"R",71,"R",219,"Z",0,"Z",0,"R",219,"R",108,"R",49,"R",11
102580,"R",4,"R",14,"R",29,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",5
102614,"R",695,"R",1370,"R",51,"R",451,"Z",0,"Z",0,"R",451,"R",334,"R",74,"R",45,"Z",0,"Z",0,"R",45,"R",19,"R",42,"R",11
102632,"R",90,"R",376,"R",24,"R",51,"Z",0,"Z",0,"R",51,"R",39,"R",76,"R",14,"Z",0,"Z",0,"R",14,"R",4,"R",29,"R",9
102669,"R",22,"R",146,"R",15,"R",25,"R",0,"R",0,"R",25,"R",17,"R",68,"R",5,"R",0,"R",0,"R",5,"R",2,"R",40,"R",7
102845,"A",NA,"A",NA,"A",NA,"R",4,"R",0,"R",0,"R",4,"R",1,"R",25,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",25
104090,"A",NA,"A",NA,"A",NA,"R",4,"Z",0,"Z",0,"R",4,"R",1,"R",25,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",22
104151,"R",13981,"R",18259,"R",77,"R",13987,"R",120,"R",0,"R",13867,"R",12014,"R",87,"R",115,"R",6,"R",0,"R",109,"R",57,"R",52,"R",18
104179,"R",8743,"R",13303,"R",66,"R",8625,"R",18,"Z",0,"R",8607,"R",7125,"R",83,"R",533,"Z",0,"Z",0,"R",533,"R",276,"R",52,"R",20
104425,"R",555,"R",982,"R",57,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",15
104577,"R",566,"R",1166,"R",49,"Z",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"Z",0,"R",0,"R",0,"R",0,"Z",0,"A",NA,"R",16
104586,"R",742,"R",826,"R",90,"R",825,"R",1,"R",0,"R",824,"R",677,"R",82,"R",8,"R",0,"R",0,"R",8,"R",3,"R",38,"R",17
104708,"R",1372,"R",5080,"R",27,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"A",NA,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"A",NA,"R",18
104717,"R",6280,"R",23651,"R",27,"R",6950,"R",2,"Z",0,"R",6948,"R",5006,"R",72,"R",1204,"R",4,"Z",0,"R",1200,"R",563,"R",47,"R",20
105145,"R",343,"R",2667,"R",13,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"A",NA,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"A",NA,"R",15
105154,"R",1350,"R",6360,"R",21,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"A",NA,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"A",NA,"R",18
105297,"R",52,"R",185,"R",28,"R",21,"R",0,"R",0,"R",21,"R",10,"R",48,"R",6,"R",0,"R",0,"R",6,"R",3,"R",50,"R",16
105330,"R",4868,"R",6610,"R",74,"R",5360,"R",1,"R",0,"R",5359,"R",4045,"R",75,"R",106,"R",1,"R",0,"R",105,"R",27,"R",26,"R",19
105349,"R",47,"R",559,"R",8,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",12
105428,"R",752,"R",4008,"R",19,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"A",NA,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"A",NA,"R",16
105534,"A",NA,"A",NA,"A",NA,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",35
105589,"R",10,"R",57,"R",18,"R",23,"R",0,"R",0,"R",23,"R",17,"R",74,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",8
105668,"R",180,"R",8122,"R",2,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"A",NA,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"A",NA,"R",31
105747,"R",433,"R",2928,"R",15,"R",0,"Z",0,"R",0,"R",0,"R",0,"A",NA,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",NA,"R",16
105792,"R",439,"R",1978,"R",22,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"A",NA,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"A",NA,"R",20
105899,"R",326,"R",638,"R",51,"R",363,"R",0,"R",0,"R",363,"R",195,"R",54,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",16
